2025-02-16T19:47:59.303148,SAV001,1000.00
2025-02-16T19:47:59.303595,CHK001,500.00
2025-02-16T19:47:59.305529,SAV001,1000.00
2025-02-16T19:47:59.306105,CHK001,500.00
2025-02-16T19:47:59.307758,SAV001,1000.00
2025-02-16T19:47:59.308112,CHK001,500.00
2025-02-16T19:47:59.308344,SAV001,500.00
2025-02-16T19:47:59.308520,SAV001,-200.00
2025-02-16T19:47:59.309588,SAV001,1000.00
2025-02-16T19:47:59.309765,CHK001,500.00
2025-02-16T19:47:59.309932,SAV002,1500.00
2025-02-16T19:47:59.310499,SAV001,1000.00
2025-02-16T19:47:59.310939,CHK001,500.00
2025-02-16T19:47:59.311528,SAV001,1000.00
2025-02-16T19:47:59.311812,CHK001,500.00
2025-02-16T19:47:59.312229,SAV001,1000.00
2025-02-16T19:47:59.312505,CHK001,500.00
2025-02-16T19:47:59.312692,SAV001,500.00
2025-02-16T19:47:59.313131,CHK001,300.00
2025-02-16T19:47:59.314116,SAV001,1000.00
2025-02-16T19:47:59.314585,CHK001,500.00
2025-02-16T19:47:59.314821,SAV001,-300.00
2025-02-16T19:47:59.315185,SAV001,1000.00
2025-02-16T19:47:59.315510,CHK001,500.00
2025-02-16T19:47:59.316001,SAV001,1000.00
2025-02-16T19:47:59.316196,CHK001,500.00
2025-02-16T19:47:59.316527,SAV001,1000.00
2025-02-16T19:47:59.316672,CHK001,500.00
2025-02-16T19:47:59.316991,SAV001,1000.00
2025-02-16T19:47:59.317132,CHK001,500.00
2025-02-16T19:47:59.317267,SAV001,500.00
2025-02-16T19:47:59.317512,SAV001,1000.00
2025-02-16T19:47:59.317645,CHK001,500.00
2025-02-16T19:47:59.317793,SAV001,-200.00
2025-02-16T19:47:59.317911,CHK001,200.00
2025-02-16T19:47:59.318153,SAV001,1000.00
2025-02-16T19:47:59.318288,CHK001,500.00
2025-02-16T19:56:46.876881,SAV001,1000.00
2025-02-16T19:56:46.883821,CHK001,2000.00
2025-02-16T19:56:46.885245,SAV001,500.00
2025-02-16T19:56:46.885575,CHK001,-300.00
2025-02-16T19:56:46.885859,CHK001,-200.00
2025-02-16T19:56:46.886045,SAV001,200.00
